10.284	Seq: 1	ACK: 387001	time: 10266	echo: 10204 -> SACK List: 402001 to 421501; 396001 to 399001; 390001 to 393001; 
10.2845	Seq: 1	ACK: 387001	time: 10267	echo: 10204 -> SACK List: 402001 to 423001; 396001 to 399001; 390001 to 393001; 
10.285	Seq: 1	ACK: 387001	time: 10268	echo: 10204 -> SACK List: 402001 to 424501; 396001 to 399001; 390001 to 393001; 
10.2856	Seq: 1	ACK: 387001	time: 10268	echo: 10204 -> SACK List: 402001 to 426001; 396001 to 399001; 390001 to 393001; 
10.2861	Seq: 1	ACK: 387001	time: 10269	echo: 10204 -> SACK List: 402001 to 427501; 396001 to 399001; 390001 to 393001; 
10.2866	Seq: 1	ACK: 387001	time: 10269	echo: 10204 -> SACK List: 402001 to 429001; 396001 to 399001; 390001 to 393001; 
10.2871	Seq: 1	ACK: 387001	time: 10270	echo: 10204 -> SACK List: 402001 to 430501; 396001 to 399001; 390001 to 393001; 
10.2877	Seq: 1	ACK: 387001	time: 10270	echo: 10204 -> SACK List: 402001 to 432001; 396001 to 399001; 390001 to 393001; 
10.2882	Seq: 1	ACK: 387001	time: 10271	echo: 10204 -> SACK List: 433501 to 435001; 402001 to 432001; 396001 to 399001; 
10.2887	Seq: 1	ACK: 387001	time: 10271	echo: 10204 -> SACK List: 433501 to 436501; 402001 to 432001; 396001 to 399001; 
10.2892	Seq: 1	ACK: 387001	time: 10272	echo: 10204 -> SACK List: 433501 to 438001; 402001 to 432001; 396001 to 399001; 
10.2898	Seq: 1	ACK: 387001	time: 10272	echo: 10204 -> SACK List: 433501 to 439501; 402001 to 432001; 396001 to 399001; 
10.2903	Seq: 1	ACK: 387001	time: 10273	echo: 10204 -> SACK List: 433501 to 441001; 402001 to 432001; 396001 to 399001; 
10.2908	Seq: 1	ACK: 387001	time: 10273	echo: 10204 -> SACK List: 433501 to 442501; 402001 to 432001; 396001 to 399001; 
10.2913	Seq: 1	ACK: 387001	time: 10274	echo: 10204 -> SACK List: 433501 to 444001; 402001 to 432001; 396001 to 399001; 
10.2919	Seq: 1	ACK: 387001	time: 10274	echo: 10204 -> SACK List: 433501 to 445501; 402001 to 432001; 396001 to 399001; 
10.2924	Seq: 1	ACK: 387001	time: 10275	echo: 10204 -> SACK List: 433501 to 447001; 402001 to 432001; 396001 to 399001; 
10.2929	Seq: 1	ACK: 387001	time: 10275	echo: 10204 -> SACK List: 433501 to 448501; 402001 to 432001; 396001 to 399001; 
10.2934	Seq: 1	ACK: 387001	time: 10276	echo: 10204 -> SACK List: 433501 to 450001; 402001 to 432001; 396001 to 399001; 
10.294	Seq: 1	ACK: 387001	time: 10276	echo: 10204 -> SACK List: 433501 to 451501; 402001 to 432001; 396001 to 399001; 
